,203_HNRNPC,204_RBFOX2,205_IGF2BP1,206_HNRNPK,209_SRSF7,211_IGF2BP3,215_TIA1,216_SRSF9,218_TRA2A,220_IGF2BP1,222_HNRNPM,223_FKBP4,224_HNRNPM,226_IGF2BP2,227_SLTM,228_SF3B4,230_BCCIP,236_FMR1,237_FXR2,240_TRA2A,241_DDX42,242_U2AF2,243_LARP7,244_U2AF1,245_XRN2,247_HNRNPA1,249_HNRNPU,256_SLTM,258_CPSF6,260_EIF4G2,262_SLBP,267_SAFB2,272_U2AF2,275_CSTF2T,278_PRPF8,279_FAM120A,281_HNRNPU,282_U2AF1,283_HNRNPA1,285_TIA1,289_HNRNPUL1,291_PRPF8,292_CSTF2T,297_FAM120A,298_LARP7,301_SRSF1,302_SND1,311_XRCC6,312_SRSF1,315_FXR1,316_SND1,321_HNRNPUL1,325_LIN28B,326_HNRNPK,331_RBM22,338_ILF3,339_TAF15,340_TARDBP,341_DGCR8,342_GTF2F1,344_SMNDC1,345_PCBP2,350_DDX3X,352_SBDS,353_KHDRBS1,354_NPM1,358_GNL3,367_YWHAG,368_PTBP1,376_SRSF7,383_DGCR8,384_GTF2F1,387_LIN28B,388_TAF15,393_SF3A3,405_NONO,406_PABPC4,414_PPIL4,416_WRN,425_AKAP8L,437_SFPQ,439_KHSRP,440_EWSR1,441_PUM2,444_LSM11,445_SMNDC1,447_TROVE2,450_GPKOW,452_NSUN2,460_FASTKD2,461_LARP4,464_FTO,465_UPF1,466_QKI,470_MTPAP,475_UTP3,477_NCBP2,478_QKI,480_XRCC6,481_DROSHA,483_DDX24,484_POLR2G,491_EXOSC5,492_DDX3X,493_ILF3,494_RBM22,495_PPIG,497_BUD13,501_RBM5,503_TROVE2,506_SF3B1,507_SF3B4,508_BUD13,509_METAP2,511_AATF,514_RBM15,516_NOLC1,517_WDR43,522_HLTF,530_RPS3,537_AGGF1,539_NOL12,540_RPS3,543_AGGF1,544_DKC1,545_EIF3H,546_NKRF,548_ZRANB2,550_DDX55,551_YBX3,552_RBM15,553_NOLC1,556_CDC40,558_LARP4,560_HNRNPL,565_NIPBL,566_NCBP2,570_ZNF622,571_FUBP3,572_CSTF2,575_DROSHA,577_DDX6,582_EFTUD2,584_TBRG4,586_DDX51,589_DDX6,592_LSM11,593_STAU2,595_DDX55,596_GRSF1,602_WDR43,603_DDX59,610_UCHL5,614_RPS11,617_TBRG4,621_UTP18,624_AARS,625_EIF3D,628_GRWD1,629_UCHL5,631_EFTUD2,641_ZC3H11A,642_DDX52,643_BCLAF1,645_GRWD1,646_EIF3G,649_FASTKD2,650_SUPV3L1,651_HLTF,652_SUGP2,654_DHX30,655_XPO5,663_SUPV3L1,668_PUS1,670_AQR,676_RBFOX2,677_GEMIN5,678_HNRNPL,680_PHF6,681_DDX52,682_DHX30,683_ZC3H8,684_ZC3H11A,685_WDR3,686_UTP18,689_FUS,690_PUM1,692_PCBP1,693_SERBP1,694_FUS,695_MATR3,696_PTBP1,697_AKAP1,699_HNRNPC,700_CPEB4,703_NIP7,708_AKAP1,712_G3BP1,713_FXR2,716_MATR3,719_PCBP1,722reseq2_EXOSC5,723reseq1_FTO,726_UPF1,729_YBX3,730_SSB,734_ABCF1,737_ZNF800,738_SSB,740_SDAD1,743_ZNF800,744_SDAD1,745_SAFB,746_SAFB,750_PABPN1,752_PRPF4,753_TIAL1,755_KHSRP,762_AQR,235x4000_XRN2,284x4000fix_DDX21,374x4000fix_APOBEC3C,632x_SUB1,4001_NONO,4002_FXR2,4004_DEK,4007_EIF2B3,4008_RBFOX3,4009_GSK3,4006_HNRNPK,4010_NPM1,4012_RPS6,4014_TDP43,4017_PSMA1,4018_EIF4E,4019_KPNB1,4020_DEK,4022_PSMA1,4023_RBFOX3,4035_NCL,4037_EEF2,4040_GARS,4044_ELAVL1,4047_NSUN4,4052_TAF9,4050_DDX47,4059_DAP5,4045_SRSF1,4054_GEMIN2,4055_FUBP1,4058_SRSF5,4056_MBNL1,4048_SF3A1,4049_RECQ1,4098_FXR2,4110_TARDBP,4030_FMRP,4036_FXR1,4082_EIF4E,4072_UBCH7,4081_APEX1,4028_APEX1,4083_ELAVL1,4087_SUZ12,4097_EIF2B3,4111_CTCF,4107_EEF2,4108_GARS,4109_KPNB1,4114_PRPF39,4116_AGO2,4117_SF3A1,4068_PRPF39,4065_CTCF,4084_NONO,4088_CXXC1,4104_RPS10,4126_SUZ12,4070_RECQ1,4156_CNOT2,4157_CNOT10,4158_CACTIN,4159_DCP2,4121_THOC1,4125_FBL,4164_SNRPC,4155_SNRPD3,4132_SRSF9,4203_SNRPA1,4204_SNRPD3,4160_DDX43,4161_EXOSC10,4140_RYBP,4187_SNRPC,4222_EIF6,4139_MORC2,4142_RYBP,4154_SMG1,4146_DEK,4147_DICER1,4148_PPP1R10,4149_PRPF39,4134_EIF4G1,4138_EIF3A,4213_DYNLL1,4169_MFAP1,4137_ADAR,4152_SNRNP200,4144_EIF3A,4217_ADAT1,4190_CACTIN,4191_CNOT2,4209_FYTTD1,4212_SNRNP200,4201_PCF11,4225_METTL1,4202_DHX38,4231_DDX1,4176_FYTTD1,4226_DDX1,4228_FXR1,4223_EED,4224_ELAC2,4229_YBX1,4230_HNRNPA0,4214_PARP,4215_NSUN2,4221_TIAL1,katie_PCF11,katie_AIMP1,katie_DLD,katie_DARS,katie_DLST,katie_RPS5,katie_KARS
PCF11,0.0,0.00012600806451612903,0.0010175010175010174,0.0001621796951021732,0.0044943820224719105,0.0003695491500369549,0.0,0.0,0.0,0.00048677592081778357,0.0,0.007356805044666317,0.00014478065730418415,0.0011657729074376311,0.0028702640642939152,0.0,0.0,0.0,0.0,0.0018206645425580337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004829751267809708,0.0,0.003946329913180742,0.0,0.00023775558725630053,0.0,0.0014105615798289694,0.0,0.0004740834386852086,0.0,0.0,0.0,0.00015762925598991173,0.0,4.9377839225755484e-05,0.0020633397312859883,0.001845444059976932,0.0,0.000444247001332741,0.00013236267372600927,0.0,0.00039077764751856197,0.0,0.00043431053203040176,0.0,0.00013559322033898305,0.00028876696505919725,0.0,0.0,0.0,0.0024154589371980675,0.0035067212156633548,0.0012898470609913396,0.0,0.0003288391976323578,0.00014005602240896358,0.0,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0036714089031665903,0.0006067961165048543,0.00023685457129322596,0.0,0.0,0.0019340733266061218,0.0003181167488468268,0.0,0.0,0.0011303692539562924,0.0,0.0,0.0019469983775013521,0.0,0.001105583195135434,0.0020526855969893944,0.0,0.0,0.0,0.0,0.0,0.0,0.0002882882882882883,0.0007222824124232575,0.0038412291933418692,0.0,0.0002707092582566324,0.0,0.0,0.0013686131386861315,0.0005966587112171838,0.0,8.018603159329644e-05,0.0,0.0,0.0,0.0,0.0,0.0009090909090909091,0.0,0.0,0.0005593884020137983,0.0,0.0019591379792891126,0.005188067444876783,0.00010115314586283633,0.0,0.0,0.0,0.0003526093088857546,0.00013388673182487614,0.0,0.0,0.0,0.0019298809906722419,0.0,0.002321262766945218,0.0,0.0,0.00027119379508596845,0.0,0.0019184652278177458,0.0,0.0013600816048962938,0.00015654351909830932,0.002607561929595828,0.0069124423963133645,0.0,0.001554726368159204,0.0,0.0015117157974300832,0.0,0.000995850622406639,0.0,0.0,0.0,0.0013759889920880633,0.004608294930875576,0.0,0.0,0.0,0.0011235955056179776,0.00031534135701897305,0.0,0.0,0.001976284584980237,0.0,0.0,0.0,0.0,0.00025078369905956113,0.0006180469715698393,0.0,0.0,0.0014498757249378626,0.0,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0005893909626719057,0.0,0.0,0.00023905334873899358,0.0,0.002574831026713872,0.0,0.0034602076124567475,0.004667444574095682,0.0007027406886858749,0.0,0.0,0.0,0.0,0.00020275750202757503,0.0,0.0,0.0032679738562091504,0.0022338049143708115,0.0,0.00011303266644060134,0.0010224948875255625,0.0,0.0,0.0053404539385847796,0.0006249023590064052,0.0005761198329252485,0.0,0.0,0.0012072434607645875,0.0008333333333333334,0.003980099502487562,0.0006849985321460025,0.0024028834601521826,0.0036363636363636364,0.0,0.002069679199724043,0.0,0.0,0.0,0.0,0.0,0.0,0.0002261420171867933,0.0007144315166360481,0.0017599436818021823,0.0005210142410559222,0.00017186560109993984,0.0009789525208027412,0.0,0.0,0.0015987210231814548,0.00198300283286119,0.000768344218209758,0.006688963210702341,0.006501950585175552,0.00018528812303131369,0.00641025641025641,0.0003719546215361726,0.003341687552213868,0.005517241379310344,0.0041741204531902205,0.0,0.0003835826620636747,0.0,0.0029607698001480384,0.0,0.00016419687204958746,0.004008016032064128,0.0,0.003861003861003861,0.0,0.0,0.007246376811594203,0.0,0.0,0.00023121387283236994,0.0061633281972265025,0.0,0.0,0.002997601918465228,0.000925925925925926,0.0,0.0,0.0015068561956903912,0.0,0.0010804970286331713,0.00025075225677031093,0.0,0.0,0.0,0.0,0.0,0.0,0.0009045680687471732,0.0,0.0,0.0,0.0022133075114123667,0.00023503603885929175,0.0003933910306845004,0.0,0.0,0.00020951183741881415,0.0,0.0,0.007920792079207921,0.0,0.005385996409335727,0.008130081300813009,0.004519774011299435,0.005256241787122208,0.007590132827324478,0.0,0.0,0.0018744142455482662,0.0,0.00333889816360601,0.0031720856463124504,0.00010454783063251438,0.0,0.0032976092333058533,0.0,0.0,0.004418262150220913,0.0,0.0,0.0035842293906810036,0.0,0.006925207756232687,0.002336448598130841,0.0013717421124828531,0.0003080952014172379,0.0006963788300835655,0.0004459805998439068,0.0,0.0031645569620253164,0.0,0.0,0.0,0.0,0.00410958904109589,0.0012026458208057728,0.002560819462227913,0.0,0.009887005649717515,0.003664793549963352,0.0,0.0,0.0,5.8180125669071444e-05,0.002166377816291161,0.0,0.0,0.0,0.0,0.0,1.0,0.02981029810298103,0.007797270955165692,0.0074850299401197605,0.02929936305732484,0.001557632398753894,0.03283582089552239
AIMP1,0.0,0.0025783163594173004,0.001894736842105263,0.0,0.004103967168262654,0.0,0.0,0.0,0.0,0.0006664445184938354,0.000508794882977177,0.006876790830945559,0.0014841199168892847,0.0014534883720930232,0.0,0.00016100466913540493,0.00351288056206089,0.0,0.00022456770716370987,0.0,0.0,0.0,0.0,0.0,0.00578368999421631,0.0,0.0,0.0025169896803423106,0.0,0.0024410089503661514,0.004357298474945534,0.00024715768660405336,0.0,0.0055670288228427765,0.00025904498747949227,0.0024366471734892786,0.0,0.0,0.0,0.00048527984471044967,0.001941747572815534,0.00019911394295385535,0.0032436096049573973,0.006255163460403635,0.0,0.0,0.0,0.0,0.005446166736489317,0.0,0.0,0.006561679790026247,0.0,0.0003027550711474417,0.0015515903801396431,0.0,0.0035587188612099642,0.0009585102012871423,0.0006426735218508997,0.006296508299942759,0.0,0.0011165698972755694,0.0002865740077374982,0.003125,0.0,0.0,0.0,0.0017937219730941704,0.00037064492216456633,0.0,0.0014822134387351778,0.006306495690561278,0.0,0.001876172607879925,0.0011303692539562924,0.0034144259496372174,0.0,0.0,0.002380952380952381,0.008074283407347598,0.0035014005602240898,0.00021275690396153356,0.006523662096417514,0.00035198873636043646,0.003037667071688943,0.002897500905469033,0.003865979381443299,0.000724112961622013,0.004098360655737705,0.008849557522123894,0.0,0.0026362038664323375,0.0,0.0,0.002849002849002849,0.0,0.0011328235627301047,0.0,0.004291845493562232,0.006663493574488339,0.000100999899000101,0.0,0.0006501950585175553,0.00022878059940517045,0.00026164311878597594,0.0,0.0,0.00021753317380900588,0.0031982942430703624,0.0,0.0,0.0001892147587511826,0.0006557377049180328,0.0,0.007246376811594203,0.0011321531494442158,0.0010695187165775401,0.0,0.0,0.0,0.0006844626967830253,0.0,0.0,0.0,0.0010162601626016261,0.0003183699458771092,0.002652519893899204,0.00741839762611276,0.0,0.0,0.0011111111111111111,0.0,0.0034059945504087193,0.0,0.0,0.001644736842105263,0.0028089887640449437,0.00013092432573972245,0.000326797385620915,0.0005982650314089142,0.0036275695284159614,0.00044306601683650863,0.0006817794443497528,0.006230529595015576,0.01394700139470014,0.0,0.001091703056768559,0.0017452006980802793,0.0,0.0022026431718061676,0.0,0.0002938583602703497,0.00026499894000424,0.005780346820809248,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0015374759769378604,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0016366612111292963,0.0036231884057971015,0.0,0.0,0.0,0.00040559724193875484,0.0,0.0,0.0,0.00420057757941717,0.0047602856171370285,0.0,0.005025125628140704,0.014285714285714285,0.003971405877680699,0.0017985611510791368,0.0,0.0030581039755351682,0.0,0.00909090909090909,0.0,0.0,0.0,0.00338409475465313,0.0002737101409607226,0.0,0.0,0.0036900369003690036,0.0,0.0,0.00016015374759769378,0.00014736221632773356,0.0,0.0,0.0008598452278589854,0.007744433688286544,0.0,9.935419771485345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008250825082508251,0.0,0.0,0.0002346316283435007,0.004792165850609438,0.0011181513231457323,0.0010723860589812334,0.0,0.004797441364605544,0.0,0.003799392097264438,0.0008342602892102336,0.008661887694145758,0.0029791459781529296,0.0,0.006557377049180328,0.002104457623876028,0.0196078431372549,0.0009589566551591868,0.0009615384615384616,0.0,0.0018431292238378046,0.011560693641618497,0.0004086636697997548,0.02664298401420959,0.010998307952622674,0.0,0.00045465817971397865,0.00477326968973747,0.019693654266958426,0.012658227848101266,0.00043830813061582295,0.004477611940298508,0.009433962264150943,0.0035398230088495575,0.013533834586466165,0.0004803073967339097,0.004073319755600814,0.003937007874015748,0.006134969325153374,0.0026507620941020544,0.012087912087912088,0.0,0.0,0.0006576950318729131,0.000421674045962471,0.004248088360237893,0.0018315018315018315,0.0,0.0024906600249066002,0.01348314606741573,0.00021263023601956197,0.0,0.010723860589812333,0.0019521717911176184,0.008561643835616438,0.002079002079002079,0.008830022075055188,0.008397381155707373,0.0,0.004214075010535188,0.0,0.0,0.007863695937090432,0.0,0.0,0.0,0.0,0.01910828025477707,0.0,0.006906077348066298,0.003316749585406302,0.01366120218579235,0.0,0.0,0.0010121457489878543,0.0035211267605633804,0.012633624878522837,0.01937269372693727,0.0002126754572522331,0.006038647342995169,0.0,0.0031065548306927616,0.010869565217391304,0.008375209380234505,0.0,0.0,0.0,0.00186219739292365,0.0035398230088495575,0.006716032374720166,0.0,0.0007021376189733188,0.015103338632750398,0.0017049329393043875,0.0,0.006357856494096276,0.0,0.012214983713355049,0.012747875354107648,0.002560819462227913,0.022709475332811275,0.006016042780748663,0.01631321370309951,0.006418485237483954,0.016483516483516484,0.005859872611464968,0.005338078291814947,0.0,0.01936619718309859,0.0005287896592244418,0.0031444241316270567,0.0,0.005,0.03953488372093023,0.02080624187256177,0.002665718855518038,0.01876675603217158,1.0,0.014204545454545454,0.00984251968503937,0.03184713375796178,0.0017234522073445579,0.014084507042253521
DLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002969121140142518,0.04,0.0,0.0,0.0,0.0022935779816513763,0.00025471217524197657,0.0,0.0,0.0006606474344857961,0.0,0.0,0.0008291873963515755,0.0,0.0,0.0,0.0,0.0,0.0,8.598082627574051e-05,0.0,0.00036771465342893915,0.001422475106685633,0.000792393026941363,0.0,0.007073386383731211,0.00816326530612245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006079027355623101,0.0,0.013114754098360656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026223776223776225,0.0,0.001229256299938537,0.0,0.0,0.0,0.00028308563340410475,0.009523809523809525,0.0005251181515841065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02391304347826087,6.651589729945457e-05,0.0,0.0,0.0,0.0,0.0,0.02806122448979592,0.004149377593360996,0.0,0.0007980845969672786,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.002290950744558992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030395136778115502,0.0,0.0,0.0,0.0,0.0,0.0004266211604095563,0.0,0.0,0.0,0.0,0.0007380073800738007,0.0,0.006648936170212766,0.013835511145272867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01125703564727955,0.0005963029218843172,0.0,0.003968253968253968,0.0,0.033426183844011144,0.0012026458208057728,0.004464285714285714,0.0,0.0012547051442910915,0.0,0.0,0.017817371937639197,0.00045372050816696913,0.046875,0.002105263157894737,0.0,0.0,0.020442930153321975,0.05687203791469194,0.06166666666666667,0.00022509848058525604,0.011965811965811967,0.04659498207885305,0.0,0.023752969121140142,0.0,0.008064516129032258,0.0,0.034050179211469536,0.00315955766192733,0.02727272727272727,0.0,0.0,0.0,0.0,0.00273224043715847,0.002796420581655481,0.0,0.0,0.05583756345177665,0.0,0.0,0.022900763358778626,0.0,0.0,0.0011883541295306002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002797202797202797,0.0,0.004132231404958678,0.005555555555555556,0.06666666666666667,0.0,0.0,0.001154068090017311,0.031545741324921134,0.002509410288582183,0.002325581395348837,0.0007645259938837921,0.023741007194244605,0.0,0.0,0.00909090909090909,0.0020855057351407717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015895724050230488,0.004859086491739553,0.0033953869570307925,0.0,0.0,0.0,0.005025125628140704,0.051224944320712694,0.01055662188099808,0.001885014137606032,0.0,0.0,0.0037105751391465678,0.003215434083601286,0.0,0.001379310344827586,0.0,0.0,0.0,0.00014844503822459735,0.0,0.012738853503184714,0.0,0.0,0.00037057624606262737,0.005836575875486381,0.014204545454545454,1.0,0.08433734939759036,0.11878453038674033,0.002467443454420836,0.016580310880829015
DARS,0.0,0.0,0.0,0.0,0.0015479876160990713,0.0,0.0,0.0,0.007104795737122558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022904260192395785,0.006697578567748583,0.006230529595015576,0.0002595380223202699,0.06696428571428571,0.0,0.0,0.0,0.007692307692307693,0.0,0.004,0.0,0.008086253369272238,0.0,0.00018276523805172256,0.0,0.0003480379361350387,0.0,0.0,0.0,0.0,0.0,0.0,0.00024998750062496874,0.0,0.0,0.039301310043668124,0.0014985014985014985,0.00013683634373289546,0.0,0.002166377816291161,0.0,0.0004589261128958238,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.008922443376801648,0.0,0.0,0.0,0.0007257947452460444,0.004291845493562232,0.0020891364902506965,0.0,0.0,0.003898635477582846,0.0004996252810392206,0.008415147265077139,0.007792207792207792,0.0,0.00025157232704402514,0.0,0.001168679392286716,0.0,0.00016553550736633007,0.0,0.0,0.0,0.0,0.0,0.0,0.0005362888809438684,0.003207184092366902,0.0018677624206200972,0.0043541364296081275,0.0023219814241486067,0.01256281407035176,0.0036496350364963502,0.0,0.0,0.0,0.0015873015873015873,0.002276176024279211,0.0,0.0008708272859216256,0.00019408054342552158,0.014044943820224719,0.0009664170089393573,0.000407705636530425,0.0,0.0,0.00046226742170345545,0.0005356186395286556,0.0009546539379474941,0.000470749347370223,0.0033362989323843417,0.0,0.0,0.0,9.538344143456696e-05,0.0007724564113882145,0.0006004202942059442,0.019561815336463225,0.0005189413596263622,0.0016835016835016834,0.0,0.0021929824561403508,0.0007727975270479134,0.0011088011088011087,0.030434782608695653,0.0011935208866155158,0.000754906894816306,0.0006978367062107466,0.0003274394237066143,0.0004915212582944212,0.0,0.0,5.496317467296911e-05,0.0011675423234092236,0.002176278563656148,0.001445086705202312,0.0,0.0,0.0038461538461538464,0.01620745542949757,0.0018466002769900415,0.0,0.0,0.0,0.0,0.0,0.025688073394495414,0.015873015873015872,0.0,0.0011273957158962795,0.0,0.0,0.009478672985781991,0.007462686567164179,0.0,0.001599488163787588,0.0038461538461538464,0.008928571428571428,0.0,0.011583011583011582,0.0029182879377431907,0.0011208751793400286,0.0012274959083469722,0.0002587991718426501,0.0,0.00821917808219178,0.0010396599700333302,0.0019654946494867876,0.0020242914979757085,0.010666666666666666,0.03090507726269316,0.00129366106080207,0.0,0.031630170316301706,0.0,0.0,0.0,8.04634695848085e-05,0.0,0.0031479538300104933,0.0,0.00772626931567329,0.009582477754962354,0.009433962264150943,0.0,0.0,0.0211864406779661,0.005813953488372093,0.0,0.0048951048951048955,0.0034782608695652175,0.011019283746556474,0.0036529680365296802,0.0,0.0003489183531053733,0.0005847953216374269,0.0,0.0,0.014028056112224449,0.0,0.0007468259895444362,0.004172803141875307,0.0,0.0022361359570661895,0.004210526315789474,0.007936507936507936,0.0,0.0,0.013289036544850499,0.007692307692307693,0.0045351473922902496,0.018134715025906734,0.01486988847583643,0.003804692454026633,0.0044603033006244425,0.0,0.0013531799729364006,0.0004791566842357451,0.0003139717425431711,0.0,0.0,0.0002634120642725437,0.002229654403567447,0.0,0.002437043054427295,0.0008549444286121402,0.0,0.004859283255719781,0.011396011396011397,0.03131115459882583,0.0013608087091757388,0.026954177897574125,0.0011705033164260631,0.01059322033898305,0.008368200836820083,0.00041640641265875496,0.019966722129783693,0.0025477707006369425,0.046908315565031986,0.006357856494096276,0.0027434842249657062,0.0,0.013422818791946308,0.04696132596685083,0.10754189944134078,0.0015505593088935652,0.037037037037037035,0.07951807228915662,0.0020876826722338203,0.24101479915433405,0.001719056974459725,0.03836317135549872,0.07088607594936709,0.17656500802568217,0.06417910447761194,0.014598540145985401,0.012875536480686695,0.000315357931251971,0.0,0.0015050526768436896,0.03038427167113494,0.0029482712409541678,0.005474452554744526,0.002793296089385475,0.008310249307479225,0.0,0.009389671361502348,0.0,0.0,0.008032128514056224,0.008767123287671232,0.022099447513812154,0.0,0.0,0.00043572984749455336,0.0,0.0,0.0,0.021806853582554516,0.00784313725490196,0.0,0.024390243902439025,0.006920415224913495,0.012195121951219513,0.009433962264150943,0.01968503937007874,0.040293040293040296,0.0,0.003953871499176277,0.0037154989384288748,0.029850746268656716,0.008447729672650475,0.008919722497522299,0.009642470205850488,0.09197786998616875,0.0,0.001913265306122449,0.0106951871657754,0.025711662075298437,0.0,0.0,0.004602991944764097,0.0,0.008403361344537815,0.0008689607229753215,0.008679245283018867,0.0005497526113249038,0.005917159763313609,0.009252833680314597,0.0021893814997263274,0.0,0.009628610729023384,0.006968641114982578,0.1760299625468165,0.040478380864765406,0.009942004971002486,0.00424929178470255,0.019011406844106463,0.011611030478955007,0.0196078431372549,0.0012966804979253112,0.0031191515907673115,0.0,0.01443298969072165,0.0,0.000881121961964902,0.0,0.016129032258064516,0.046511627906976744,0.0028735632183908046,0.0005403458213256485,0.004477611940298508,0.011834319526627219,0.07142857142857142,1.0,0.05849056603773585,0.00241578311636022,0.06162464985994398
DLST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009823182711198428,0.0,0.00016520733520568312,0.0,0.0,0.00044163109082879436,0.0,0.0,0.00015976993129892953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008787346221441124,0.00020100502512562814,0.007920792079207921,0.0,0.0,8.892050506846879e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.965243296921549e-05,4.814636494944632e-05,0.00011664528169835531,0.0,0.0,0.0005376344086021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030358227079538557,0.0,0.0004078857919782461,0.0,0.00018793459875963165,0.0,0.00011095084877399312,0.0005693950177935943,0.002717391304347826,0.0,0.0,0.0,0.0034453057708871662,0.0019682617788165826,0.0,0.0,0.0,0.0,0.0008968609865470852,0.0025945144551519643,0.0,0.00032388663967611336,0.0,0.0,0.0,0.0,0.0,0.0001092896174863388,0.0006983240223463687,0.002359882005899705,0.007150518412584912,0.0,0.0063335679099225895,0.00749063670411985,0.0,0.0,0.0,0.00021795989537925023,0.0,0.0,0.0,0.0011176306230790724,0.0,0.01669449081803005,0.0,0.0,0.0,0.00024277737314882253,0.00022753128555176336,0.0,0.0,0.00012760527435133986,0.0,0.0,0.0,0.0,0.0012256057320637315,0.00010866021949364337,0.0,0.024946543121881683,0.0001023122570083896,0.0020876826722338203,0.0,0.0,0.0,0.0005439216752787598,0.020100502512562814,0.0006663334999167084,0.0,0.015212981744421906,0.0,0.0,0.0,0.0,0.0,0.0,0.01593011305241521,0.0,0.00017310022503029253,0.0,0.03955696202531646,0.013297872340425532,0.0006529119874640898,0.0,0.0,0.0,0.0,0.0,0.014619883040935672,0.005188067444876783,0.0,0.0017895490336435219,0.0,0.0,0.001417434443656981,0.0,0.0005797101449275362,0.0001585791309863622,0.042105263157894736,0.0,0.0,0.0,0.0034423407917383822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02106969205834684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001667778519012675,0.0,0.02044790652385589,0.018342820999367487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0008110300081103001,0.0,0.0027548209366391185,0.0,0.0,0.0,0.0,0.0,0.0001463271875914545,0.0,0.0,0.0,0.003686635944700461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002320185614849188,0.0,0.0,0.00017705382436260624,0.0,0.0,0.0,0.011825572801182557,0.0010979961570134504,0.0,0.01634768740031898,0.031578947368421054,0.09602649006622517,0.009935040122277417,0.1072961373390558,0.005152671755725191,0.05014464802314368,0.04576271186440678,0.0,0.09197080291970802,0.007263922518159807,0.1079646017699115,0.04278523489932886,0.02122641509433962,0.0,0.06971153846153846,0.1101511879049676,0.11538461538461539,0.0006541648495420846,0.03765060240963856,0.05807622504537205,0.03885135135135135,0.06646971935007386,0.0,0.04642166344294004,0.06285714285714286,0.044524669073405534,0.011665586519766688,0.09615384615384616,0.05099150141643059,0.0,0.0007571168988491823,0.004821802935010482,0.009834223096375386,0.008847254748894093,0.02694610778443114,0.022781774580335732,0.018367346938775512,0.0,0.0,0.036585365853658534,0.0014299332697807435,0.0963855421686747,0.02066115702479339,0.07446808510638298,0.00014021312394840157,0.0019000870873248357,0.015455304928989139,0.0,0.0,0.0,0.0,0.0,0.0,0.05133928571428571,0.02231237322515213,0.010526315789473684,0.037383177570093455,0.00927357032457496,0.09973753280839895,0.0,0.00031436655139893113,0.002474022761009401,0.07291666666666667,0.05415860735009671,0.03873873873873874,0.003396306516663129,0.049601959583588484,0.0,0.0,0.00984251968503937,0.008051529790660225,0.0,0.0,0.04024767801857585,0.0,0.0032626427406199023,0.0008490405841399219,0.0010695187165775401,0.00046623669282772556,0.01454823889739663,0.006131486317701828,0.0,0.015817223198594025,0.0,0.0319744204636291,0.04951856946354883,0.012246621621621621,0.014992503748125937,0.017693315858453473,0.029141104294478526,0.004830917874396135,0.039655172413793106,0.001002004008016032,0.012195121951219513,0.043478260869565216,0.06091370558375635,0.0001757057514349303,0.0003633456870866943,0.04120879120879121,0.011235955056179775,0.026970954356846474,0.027127003699136867,0.0007034822370735139,0.025380710659898477,0.04180064308681672,0.10655737704918032,0.0625,1.0,0.003430984428609132,0.031630170316301706
