UBAP2L
DCP2
EIF4E
PAN2
PARN
BUD13
CHTOP
CSTF2
SF1
U2AF2
WBP11
XPO5
SYMPK
TIA1
EXOSC10
RPLP0
RPS5
LSM7
CACTIN
HNRNPC
SF3A2
CSTF2T
RPS3
DDX3X
PRPF3
TAF15
LIN28B
POLR2A
GPKOW
ALYREF
SNU13
EXOSC2
THOC1
SNRNP200
SF3B4
SNRPA1
SNRPC
SNRPD3
RPS2
IGF2BP2
FYTTD1
EIF4G2
HNRNPL
CPSF7
LARP7
MFAP1
NUP35
RBM8A
EXOSC9
PCF11
SRSF4
SRSF5
DGCR8
EIF3A
UPF2
SRSF1
CNOT2
RPL23A
RPS24
SART1
CASC3
IGF2BP1
PRPF8
RBM22
PTBP1
POLR2A_pSer2
PRP16
EWSR1
RBFOX2
XRN1
POLR2A_pSer7
MSI2
METTL3
POLR2A_pSer5
RPL18
PUM2
AASDHPPT
AASS
ABI2
ACIN1
ACOT9
ACTB
ACTC1;ACTA2;ACTG2;ACTA1
ACTG1
ACTL6A
ACTR5
ACTR8
ADD1
ADD2
ADD3
AFF4
AGAP3
AGK
AHNAK
AIMP1
AIMP2
AKAP17A
AKAP8
AMOT
AMPD2
ANAPC13
ANAPC16
AQR
ARGLU1
ARPC3
ASH2L
ASUN
ATAD3A
ATAD3B
ATP6V1A
ATP6V1B2
ATP6V1D
ATP6V1E1
ATP6V1F
ATP6V1G1
ATXN2
ATXN2L
AURKAIP1
BAG2
BAIAP2
BCAS2
BCLAF1
BID
BLM
BMS1
BRD4
BRIX1
BRK1
BUD31
BYSL
C12orf43
C17orf85
C19orf52
C1D
C1QBP
C2orf44
C7orf50
C8orf33
C9orf41
CAAP1
CAPRIN1
CARS2
CCAR1
CCAR2
CCDC12
CD2AP
CD2BP2
CD81
CDC16
CDC27
CDC40
CDC42BPA
CDC5L
CDC73
CENPV
CEP170
CEP170B
CEP44
CFAP20
CGGBP1
CHCHD3
CHERP
CHMP2B
CHMP5
CLASRP
CLINT1
CLP1
CLTA
CLTC
CNOT1
CNOT3
CNPY2
COIL
CORO1C
CORO7-PAM16;CORO7
COTL1
CPSF1
CPSF2
CPSF3
CPSF4
CPSF6
CRNKL1
CRTC2
CSTF1
CSTF3
CTNNBL1
CTSD
CTTN
CWC15
CWC22
CWC27
CXorf56
CYB5B
CYFIP1
DARS
DBT
DCAF7
DCXR
DDX17
DDX20
DDX21
DDX23
DDX41
DDX5
DDX54
DDX6
DEK
DHX15
DHX16
DHX30
DHX38
DHX9
DIAPH3
DLAT
DLD
DLST
DNAJB1
DNAJC8
DNM2
DNPEP
DOCK7
DPYSL2
DPYSL4
DPYSL5
DSP
EBNA1BP2
EEF1B2
EEF1D
EEF1G
EFTUD2
EIF3B
EIF3C;EIF3CL
EIF3D
EIF3E
EIF3F
EIF3G
EIF3H
EIF3I
EIF3J
EIF3K
EIF3L
EIF3M
EIF4A1
EIF4A2
EIF4A3
EIF4G1
EIF4H
EMD
ENAH
ENSA
EPRS
ERH
ERLIN2
EXOC1
EXOSC1
EXOSC3
EXOSC4
EXOSC5
EXOSC6
EXOSC7
EXOSC8
FAU
FBL
FBLL1
FHL1
FIP1L1
FKBP1A;FKBP12-Exin;FKBP12-Exip2
FLOT1
FLOT2
FMR1
FNBP4
FOXRED1
FTSJ3
FUS
FXR2
G3BP1
G3BP2
G6PD
GART
GLRX3
GLTSCR2
GNAI3
GNL3L
GORAB
GPATCH11
GPATCH8
GPN1
GPN3
GTF2I
GTPBP4
H1F0
H1FX
H2AFV;H2AFZ
H3F3B;H3F3A;HIST3H3;HIST2H3PS2;H3F3C
HDAC1
HECTD4
HIC2
HIST1H1C
HIST1H1E
HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST1H2BL;H2BFS
HIST1H4A
HIST2H2AB
HIST2H2AC;HIST2H2AA3
HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST3H2BB
HNRNPA0
HNRNPA2B1
HNRNPDL
HNRNPM
HNRNPR
HNRNPUL1
HSPB11
IARS
IGF2BP3
IGHG1
IGHG2
IGHV1OR15-1;IGHV1-24;IGHV1-18;IGHV1-3;IGHV1OR21-1
IGKV1-8;IGKV1-9;IGKV1-27
IGKV2-40;IGKV2D-28;IGKV A18;IGKV2D-26;IGKV2D-30;IGKV2D-29
IGKV3OR2-268;IGKV3D-7;IGKV3D-11;IGKV3D-15;IGKV3-7
IGKV4-1
IGLV4-60
IK
ILF2
ILF3
IMMT
IMP3
INA
INO80B-WBP1;INO80B
IRS4
ISYNA1
KARS
KDM1A
KHDRBS1
KIAA1429
KIF7
KIFC1
KLHL12
KPNA1
KRR1
KRT2
LAMTOR1
LARP1
LARP4
LARS
LAS1L
LBR
LDB1
LIG3
LIMA1
LMNA
LMNB1
LMNB2
LONP1
LRCH3
LSM1
LSM12
LSM2
LSM3
LSM4
LSM5
LSM6
LTV1
LUC7L
LUC7L2
LUC7L3
LUZP1
LYAR
LZTS2
MAD1L1
MAD2L1
MAGOHB
MAP1B
MARS
MATR3
MCCC1
MCCC2
MEPCE
MICU1
MID1IP1
MINA
MITD1
MKI67
MMTAG2
MOV10
MPHOSPH6
MPRIP
MRPL12
MRPL22
MRPL24
MRPL41
MRPL44
MRPL49
MRPL9
MRPS10
MRPS14
MRPS16
MRPS18B
MRPS18C
MRPS2
MRPS21
MRPS22
MRPS23
MRPS24
MRPS26
MRPS27
MRPS28
MRPS31
MRPS33
MRPS34
MRPS35
MRPS36
MRPS5
MRPS6
MRPS7
MRPS9
MTCH2
MYH10
MYH4;MYH1;MYH8
MYL1;MYL3
MYL12B
MYO1C
MYO1D
NAP1L1
NAT10
NCBP2
NCKAP1
NCL
NCOA5
NDUFB10
NDUFB5
NEDD4
NEFL
NEFM
NGDN
NHP2L1
NKAP
NKRF
NOC3L
NOC4L
NOL10
NOL12
NOL9
NOLC1
NOM1
NONO
NOP10
NOP16
NOP2
NOP56
NPM1
NUBPL
NUDC
NUDCD3
NUDT21
NUFIP2
NUP133
NUP153
NUP98
OAT
OGDH
OGFR
OTUD4
PABPC1
PABPC4
PAFAH1B2
PAIP2
PAN3
PARP1
PARP2
PAXBP1
PCCA
PCCB
PCNP
PCNT
PDHA1
PDHB
PDHX
PDLIM3
PEA15
PELP1
PGAM5
PGP
PHB
PHB2
PHF5A
PHPT1
PIK3C2A
PLEC
PLRG1
PNN
POLR2B
POLR2C
POLR2D
POLR2E
POLR2F
POLR2G
POLR2H
POLR2I
POLR2J;POLR2J3;POLR2J2
POLR2K
POLR2L
POM121C;POM121
PPHLN1
PPIE
PPIG
PPIH
PPIL1
PPP1CA
PPP1CB
PPP1CC
PQBP1
PRC1
PRDX4
PRKAR2A
PRMT5
PRPF19
PRPF31
PRPF38A
PRPF4
PRPF40A
PRPF4B
PRPF6
PRPS1
PRPSAP2
PRRC2A
PRRC2B
PRRC2C
PSMB7
PSMC3
PSMD13
PSMF1
PSPC1
PTMA
PWP1
PYCR1
QKI
RACGAP1
RAI14
RALY
RANBP2
RARS
RAVER1
RBBP5
RBBP6
RBFOX2;RBFOX1;RBFOX3
RBM12B
RBM14
RBM15
RBM17
RBM25
RBM28
RBM3
RBM34
RBM42
RBM6
RBM7
RBMX
RBMX2
RBMXL1
RDH16
RECQL
RECQL5
RNASET2
RNF219
RNPC3
RNPS1
RPAP2
RPL10
RPL10A
RPL11
RPL12
RPL13
RPL13A;RPL13a
RPL14
RPL15
RPL17;RPL17-C18orf32
RPL18A
RPL19
RPL21
RPL22
RPL24
RPL26
RPL26L1
RPL27
RPL27A
RPL28
RPL29
RPL3
RPL30
RPL31
RPL32
RPL34
RPL35
RPL35A
RPL36
RPL36A;RPL36A-HNRNPH2
RPL36AL;RPL36A
RPL37
RPL37A
RPL39P5;RPL39
RPL4
RPL5
RPL6
RPL7
RPL7A
RPL8
RPL9
RPLP0;RPLP0P6
RPLP1
RPLP2
RPRD2
RPS10;RPS10-NUDT3
RPS11
RPS12
RPS13
RPS14
RPS15
RPS15A
RPS16
RPS17
RPS18
RPS19
RPS23
RPS25
RPS26;RPS26P11
RPS27A
RPS28
RPS3A
RPS4X
RPS7
RPS8
RPS9
RRP12
RSL1D1
RSRC1
RTTN
RUVBL2
S100A7
SAFB
SAFB2
SAMM50
SAP18
SAP30BP
SART3
SCAF1
SCYL1
SCYL2
SDCBP
SEC13
SEC16A
SEC23IP
SECISBP2
SEH1L
SENP3;SENP3-EIF4A1
SERBP1
SF3A1
SF3A3
SF3B1
SF3B3
SF3B5
SF3B6
SFPQ
SFSWAP
SGOL2
SHMT1
SKIV2L2
SLC4A1AP
SLTM
SMARCC2
SMN1;SMN2
SMU1
SNAP23
SNIP1
SNRNP35
SNRNP40
SNRNP70
SNRPA
SNRPB;SNRPN
SNRPB2
SNRPD1
SNRPD2
SNRPE
SNRPF
SNRPG;SNRPGP15
SNW1
SREK1
SRGAP2
SRRM1
SRRM2
SRRT
SRSF10
SRSF12
SRSF3
SRSF6
SRSF7
SRSF9
SSBP1
SSBP3
SSSCA1
STAU1
STAU2
STK4
STMN2
STOML2
STRBP
SUPT6H
SUPV3L1
SURF6
SYF2
TACC3
TCEB1
TCEB2
TDRD3
TERF2IP
TFAM
TFG
TFIP11
THOC2
THOC3
THRAP3
TIMM10
TIMM10B
TIMM13
TIMM44
TIMM8A
TIMM8B
TIMM9
TJAP1
TJP1
TJP2
TLE3
TLE4
TLK2
TMED2
TMEM109
TMOD3
TNKS1BP1
TNRC6A
TP53
TRA2A
TRA2B
TRIM65
TRPC1
TSPO
TSR1
TSSC4
TXN2
TXNL4A
U2AF1;U2AF1L4
U2SURP
UACA
UBE2I
UBL5
UBR5
UCHL5
UCK2
UPF3B
URI1
USO1
USP10
USP39
UTP14A
UTP3
UTS2
VASP
VCP
VIM
VTA1
WASF2
WDR12
WDR18
WDR33
WDR6
WDR82
WHSC1
WRN
WTAP
XAB2
XRCC5
XRCC6
XRN2
YBX1
YLPM1
YME1L1
YTHDC1
YTHDF3
YWHAB
YWHAG
ZBED3
ZC3H11A
ZC3H13
ZC3H18
ZC3H4
ZC3HAV1
ZCCHC3
ZCCHC8
ZFC3H1
ZKSCAN1
ZKSCAN4
ZMAT2
ZMAT5
ZMYM3
ZMYND8
ZNF146
ZNF30
ZNF326
ZNF512
ZNF638
